,type_vente,code_departement,code_commune,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
196,0,92,92064,444000,3,2,58,0,0,20211105,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0
197,0,75,75056,650000,2,1,52,0,12500,1050,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
198,0,95,95074,249000,4,3,82,0,3037,-1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
199,1,78,78062,430000,7,5,132,432,3258,-1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1
200,1,92,92050,935000,10,6,203,207,4606,-1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
201,0,78,78621,214000,3,2,65,0,3292,1300,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
202,0,75,75056,890000,4,2,81,0,0,1100,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
203,0,75,75056,66000,0,0,6,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,0,75,75056,145000,0,0,16,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
205,1,78,78006,719000,7,5,223,2,3224,-1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
206,0,75,75056,599000,3,2,50,0,11980,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
207,0,75,75056,460000,2,1,48,0,9583,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
208,0,75,75056,225000,0,1,18,0,0,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
209,1,78,78072,850000,6,4,200,350,4250,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
210,1,78,78442,649000,8,5,230,300,2822,-1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
211,0,94,94041,470000,5,4,89,0,5281,2190,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
212,0,75,75056,390000,2,1,39,0,10000,776,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
213,0,75,75056,550000,3,2,51,0,10784,-1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
214,0,91,91318,233000,4,3,85,0,0,-1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
215,0,92,92049,480000,3,2,66,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
216,0,92,92035,500000,3,2,75,0,6667,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
217,0,92,92026,580000,3,2,82,0,7073,700,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
218,0,93,93066,280000,3,2,50,0,5600,800,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
219,0,94,94081,299000,4,2,72,0,4153,1200,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
220,0,75,75056,358000,2,1,32,0,11188,545,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
221,1,91,91274,640000,6,4,115,450,5565,2047,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1
222,0,94,94080,800000,4,3,81,0,0,-1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
223,0,75,75056,578000,2,1,53,0,0,-1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0
224,0,94,94028,280000,4,2,76,0,3684,1630,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
225,1,94,94019,695000,7,5,202,400,3441,-1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1
226,1,95,95014,550000,6,4,181,341,3039,2400,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0
227,0,75,75056,1180000,3,2,84,0,14048,-1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
228,1,77,77062,360000,8,4,142,293,2535,-1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
229,1,91,91038,660000,8,6,217,2,0,2100,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
230,0,92,92064,475000,3,2,77,0,6169,-1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
231,0,94,94003,435000,4,3,95,0,4579,1591,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
232,0,94,94052,380000,2,1,58,0,6552,-1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
233,0,95,95018,235000,3,2,55,0,4273,809,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
234,0,95,95127,199500,3,1,52,0,3837,-1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
235,0,92,92002,370000,4,3,73,0,5068,1090,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
236,0,91,91225,197000,2,1,55,0,3582,-1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
237,0,75,75056,180000,0,0,12,0,0,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
238,0,75,75056,205000,2,1,19,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
