,type_vente,nom_commune,code_departement,prix_vente,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,prix_m²,taxe_fonciere,cuisine_equipee,chauffage_collectif,sejour_cuisine,salle_equipee,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,garage,dressing,approximite_metro,bureau,terrasse
169,Appartement,Vanves,92,235000,2,1,32,0,7344,-1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
170,Maison,Créteil,94,365000,3,2,64,168,5703,-1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True
171,Appartement,Alfortville,94,235000,2,1,40,0,0,-1,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False
172,Appartement,Paris 11e Arrondissement,75,299000,2,1,28,0,10679,-1,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
173,Appartement,Paris 11e Arrondissement,75,850000,3,2,69,0,12319,870,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False
174,Appartement,Mareuil-lès-Meaux,77,220000,4,3,84,0,2619,-1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
175,Appartement,Ivry-sur-Seine,94,449000,3,2,69,0,6507,-1,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False
176,Appartement,Puteaux,92,325000,2,1,42,0,7738,-1,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False
177,Appartement,Paris 11e Arrondissement,75,749000,3,2,65,0,11523,-1,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False
178,Maison,Cormeilles-en-Parisis,95,850000,6,5,152,462,5592,-1,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True
179,Appartement,Chennevières-lès-Louvres,95,265000,5,3,95,0,2789,-1,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True
180,Maison,Champagne-sur-Oise,95,418000,5,4,153,337,2732,-1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
181,Appartement,Paris 5e Arrondissement,75,1250000,6,4,108,0,11574,-1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True
182,Appartement,Boissettes,77,149000,4,3,86,0,0,-1,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False
183,Appartement,Stains,93,277000,5,4,100,0,2770,-1,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True
184,Appartement,Le Port-Marly,78,265000,2,1,45,0,5889,-1,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
185,Appartement,Paris 19e Arrondissement,75,500000,4,3,82,0,6098,1012,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False
186,Appartement,Versailles,78,540000,4,3,94,0,5745,-1,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False
187,Maison,Chatou,78,960000,6,4,132,450,7273,-1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
188,Appartement,Paris 10e Arrondissement,75,380000,2,1,34,0,11176,328,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False
189,Maison,Bonnelles,78,640000,6,4,180,3,3556,1400,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False
190,Appartement,Plaisir,78,225000,2,1,54,0,4167,-1,False,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False
191,Appartement,Chaville,92,340000,4,3,63,0,5397,-1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
192,Appartement,Saint-Michel-sur-Orge,91,174000,3,2,67,0,2597,-1,False,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False
193,Appartement,Rueil-Malmaison,92,670000,4,3,97,0,6907,-1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
194,Appartement,Asnières-sur-Seine,92,498000,3,2,64,0,0,1000,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False
195,Maison,Montreuil,93,600000,4,2,79,0,7595,1431,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
196,Appartement,Saint-Cloud,92,444000,3,2,58,0,0,20211105,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,False
197,Appartement,Paris 15e Arrondissement,75,650000,2,1,52,0,12500,1050,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
198,Appartement,Boisemont,95,249000,4,3,82,0,3037,-1,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False
199,Maison,Beynes,78,430000,7,5,132,432,3258,-1,False,False,False,False,True,False,True,True,False,False,False,True,True,True,False,True,True
200,Maison,Nanterre,92,935000,10,6,203,207,4606,-1,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False
201,Appartement,Trappes,78,214000,3,2,65,0,3292,1300,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False
202,Appartement,Paris 15e Arrondissement,75,890000,4,2,81,0,0,1100,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False
203,Appartement,Paris 16e Arrondissement,75,66000,0,0,6,0,0,-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,Appartement,Paris 18e Arrondissement,75,145000,0,0,16,0,0,-1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
205,Maison,Adainville,78,719000,7,5,223,2,3224,-1,True,False,False,False,True,True,False,True,True,False,False,True,False,True,False,True,True
206,Appartement,Paris 11e Arrondissement,75,599000,3,2,50,0,11980,-1,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False
207,Appartement,Paris 18e Arrondissement,75,460000,2,1,48,0,9583,-1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
