,type,nom_commune,code_departement,prix,numberOfGuests,rating
145,Room,Paris 17e Arrondissement,75,491,4,4.5
146,Room,Paris 9e Arrondissement,75,366,2,4.5
147,Room,Paris 2e Arrondissement,75,380,2,4.5
148,Room,Paris 5e Arrondissement,75,382,2,4.5
149,Room,Paris 1er Arrondissement,75,371,2,4.5
150,Room,Paris 18e Arrondissement,75,441,2,4.5
151,Room,Paris 1er Arrondissement,75,478,2,4.5
152,Room,Paris 18e Arrondissement,75,508,2,4.5
153,Room,Saint-Cloud,92,329,2,4.5
154,Room,Paris 8e Arrondissement,75,425,2,4.5
155,Room,Paris 1er Arrondissement,75,433,2,4.5
156,Room,Paris 9e Arrondissement,75,369,2,4.5
157,Room,Paris 5e Arrondissement,75,279,2,4.5
158,Room,Paris 9e Arrondissement,75,491,2,4.5
159,Room,Paris 10e Arrondissement,75,297,4,4.5
160,Room,Paris 1er Arrondissement,75,378,2,4.5
161,Room,Paris 1er Arrondissement,75,458,2,4.5
162,Room,Paris 14e Arrondissement,75,350,2,4.5
163,Room,Paris 12e Arrondissement,75,359,4,5.0
164,Room,Paris 14e Arrondissement,75,283,4,4.5
165,Room,Paris 1er Arrondissement,75,435,2,4.5
166,Room,Paris 4e Arrondissement,75,329,2,4.5
167,Room,Paris 8e Arrondissement,75,356,2,4.5
168,Room,Paris 7e Arrondissement,75,389,2,4.5
169,Room,Paris 2e Arrondissement,75,320,2,4.5
170,Room,Paris 10e Arrondissement,75,274,4,4.5
171,Room,Paris 8e Arrondissement,75,415,2,4.5
172,Room,Paris 16e Arrondissement,75,410,2,4.5
173,Room,Paris 6e Arrondissement,75,447,2,4.5
174,Room,Paris 1er Arrondissement,75,369,2,4.5
175,Room,Paris 5e Arrondissement,75,276,1,4.5
176,Room,Paris 8e Arrondissement,75,443,2,4.5
177,Room,Paris 6e Arrondissement,75,336,2,4.5
178,Room,Paris 9e Arrondissement,75,505,3,4.5
179,Room,Paris 16e Arrondissement,75,298,2,5.0
180,Room,Paris 15e Arrondissement,75,391,2,4.5
181,Room,Paris 2e Arrondissement,75,290,3,4.5
182,Room,Paris 9e Arrondissement,75,376,2,4.5
183,Others,Asnières-sur-Seine,92,348,2,5.0
184,Room,Paris 9e Arrondissement,75,465,3,4.5
185,Room,Paris 8e Arrondissement,75,395,1,4.5
186,Entire Home,Paris 18e Arrondissement,75,386,4,4.5
