,type_location,code_departement,code_commune,prix_location,nb_pieces,nb_chambres,sbien_m²,sterrain_m²,taxe_loyer,cuisine_equipee,machine_laver,m_lave_vaisselle,bien_neuf,place_parking,ascenseur,cave,chauffage,vitrage,parking,baignoire,balcon,jardin,meublé,colocation,approximite_metro,terrasse
226,0,92,92036,660,1,0,20,0,1120,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
227,0,94,94052,1200,3,1,45,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
228,0,75,75056,875,1,0,26,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,1,93,93048,3300,5,4,120,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
230,1,95,95074,590,9,1,15,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
231,0,92,92063,1400,2,1,50,0,-1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
232,0,93,93048,690,1,0,15,0,-1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
233,0,93,93007,1280,3,2,60,0,140089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234,0,92,92073,1990,2,1,63,0,1380,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0
235,0,94,94076,1100,2,1,39,0,-1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
236,0,78,78418,1750,3,2,98,0,540,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,0,92,92063,1800,3,2,80,0,1200,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
238,0,94,94016,1200,2,1,54,0,800,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
239,0,75,75056,1250,2,1,37,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
240,0,78,78140,560,1,0,22,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,0,78,78418,790,2,1,37,0,1250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,0,78,78418,1750,3,2,98,0,690,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,0,94,94081,740,1,0,26,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
244,0,91,91235,1000,3,2,62,0,1840,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
245,0,94,94022,780,2,1,40,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
246,0,93,93006,1200,2,1,50,0,1680,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
247,0,95,95074,500,1,1,13,0,1680,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
248,0,75,75056,1200,1,0,35,0,1100,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
