,nom_commune,dummy,cat_commune
275,77Trilbardou,1,1
276,77Trilport,1,1
277,77Ury,1,1
278,77Ussy-sur-Marne,1,1
279,77Vaires-sur-Marne,1,1
280,77Varennes-sur-Seine,1,1
281,77Varreddes,1,1
282,77Vaux-le-Pénil,1,1
283,77Verneuil-l'Étang,1,1
284,77Vernou-la-Celle-sur-Seine,1,1
285,77Vert-Saint-Denis,1,1
286,77Ville-Saint-Jacques,1,1
287,77Villebéon,1,1
288,77Villemer,1,1
289,77Villeneuve-Saint-Denis,1,1
290,77Villeneuve-le-Comte,1,0
291,77Villeneuve-sous-Dammartin,1,0
292,77Villeneuve-sur-Bellot,1,1
293,77Villenoy,1,1
294,77Villeparisis,1,1
295,77Villeroy,1,0
296,77Villevaudé,1,0
297,77Villiers-Saint-Georges,1,1
298,77Villiers-sous-Grez,1,1
299,77Villiers-sur-Morin,1,1
300,77Voulx,1,1
301,77Vulaines-sur-Seine,1,1
302,77Yèbles,1,1
303,77Égreville,1,1
304,77Émerainville,1,1
305,77Évry-Grégy-sur-Yerre,1,1
306,78Ablis,1,1
307,78Achères,1,1
308,78Adainville,1,1
309,78Andrésy,1,1
310,78Aubergenville,1,1
311,78Auffargis,1,1
312,78Aulnay-sur-Mauldre,1,1
313,78Autouillet,1,0
314,78Bailly,1,1
315,78Bazainville,1,1
316,78Bazemont,1,1
317,78Bennecourt,1,1
318,78Beynes,1,1
319,78Bois-d'Arcy,1,1
320,78Bonnelles,1,1
321,78Bonnières-sur-Seine,1,1
322,78Bouafle,1,1
323,78Bougival,1,1
324,78Bourdonné,1,1
325,78Brueil-en-Vexin,1,1
326,78Bréval,1,1
327,78Buc,1,1
328,78Buchelay,1,1
329,78Bullion,1,1
330,78Carrières-sous-Poissy,1,1
331,78Carrières-sur-Seine,1,1
332,78Cernay-la-Ville,1,1
333,78Chambourcy,1,1
334,78Chanteloup-les-Vignes,1,1
335,78Chatou,1,1
336,78Chaufour-lès-Bonnières,1,1
337,78Chavenay,1,1
338,78Chevreuse,1,1
339,78Choisel,1,0
340,78Châteaufort,1,1
341,78Clairefontaine-en-Yvelines,1,1
342,78Coignières,1,1
343,78Condé-sur-Vesgre,1,1
344,78Conflans-Sainte-Honorine,1,1
345,78Crespières,1,0
346,78Croissy-sur-Seine,1,1
347,78Dammartin-en-Serve,1,1
348,78Dampierre-en-Yvelines,1,1
349,78Davron,1,1
350,78Drocourt,1,2
351,78Ecquevilly,1,1
352,78Feucherolles,1,0
353,78Flins-sur-Seine,1,0
354,78Follainville-Dennemont,1,1
355,78Fontenay-Mauvoisin,1,2
356,78Fontenay-Saint-Père,1,1
357,78Fontenay-le-Fleury,1,1
358,78Freneuse,1,1
359,78Gaillon-sur-Montcient,1,2
360,78Galluis,1,1
361,78Gambais,1,1
362,78Garancières,1,1
363,78Gargenville,1,1
364,78Gazeran,1,1
365,78Goussonville,1,1
366,78Gressey,1,1
367,78Grosrouvre,1,1
368,78Guernes,1,1
369,78Guerville,1,1
370,78Guyancourt,1,1
371,78Hardricourt,1,1
372,78Hargeville,1,1
373,78Houdan,1,1
374,78Houilles,1,1
375,78Issou,1,1
376,78Jambville,1,0
377,78Jouars-Pontchartrain,1,1
378,78Jouy-Mauvoisin,1,1
379,78Jouy-en-Josas,1,1
380,78Jumeauville,1,1
381,78Juziers,1,1
382,78L'Étang-la-Ville,1,1
383,78La Boissière-École,1,1
384,78La Celle-Saint-Cloud,1,1
385,78La Falaise,1,2
386,78La Queue-les-Yvelines,1,1
387,78La Verrière,1,1
388,78Le Chesnay-Rocquencourt,1,1
389,78Le Mesnil-Saint-Denis,1,1
390,78Le Mesnil-le-Roi,1,1
391,78Le Pecq,1,1
392,78Le Perray-en-Yvelines,1,1
393,78Le Port-Marly,1,1
394,78Le Tremblay-sur-Mauldre,1,1
395,78Le Vésinet,1,1
396,78Les Alluets-le-Roi,1,0
397,78Les Bréviaires,1,1
398,78Les Clayes-sous-Bois,1,1
399,78Les Essarts-le-Roi,1,1
400,78Les Loges-en-Josas,1,1
401,78Les Mureaux,1,1
402,78Limay,1,1
403,78Limetz-Villez,1,1
404,78Longnes,1,1
405,78Louveciennes,1,1
406,78Lévis-Saint-Nom,1,1
407,78Magnanville,1,1
408,78Magny-les-Hameaux,1,1
409,78Maisons-Laffitte,1,1
410,78Mantes-la-Jolie,1,1
411,78Mantes-la-Ville,1,1
412,78Marcq,1,1
413,78Mareil-Marly,1,1
414,78Mareil-sur-Mauldre,1,1
415,78Marly-le-Roi,1,1
416,78Maule,1,1
417,78Maulette,1,1
418,78Maurecourt,1,1
419,78Maurepas,1,1
420,78Meulan-en-Yvelines,1,1
421,78Milon-la-Chapelle,1,1
422,78Montesson,1,1
423,78Montfort-l'Amaury,1,1
424,78Montigny-le-Bretonneux,1,1
425,78Morainvilliers,1,2
426,78Mulcent,1,2
427,78Médan,1,0
428,78Méricourt,1,1
429,78Méré,1,0
430,78Mézières-sur-Seine,1,1
431,78Mézy-sur-Seine,1,1
432,78Neauphle-le-Château,1,1
433,78Neauphle-le-Vieux,1,1
434,78Noisy-le-Roi,1,1
435,78Notre-Dame-de-la-Mer,1,0
436,78Nézel,1,1
437,78Oinville-sur-Montcient,1,0
438,78Orcemont,1,1
439,78Orgerus,1,1
440,78Orgeval,1,1
441,78Orphin,1,1
442,78Orvilliers,1,1
443,78Perdreauville,1,1
444,78Plaisir,1,1
445,78Poigny-la-Forêt,1,1
446,78Poissy,1,1
447,78Porcheville,1,1
448,78Rambouillet,1,1
449,78Richebourg,1,1
450,78Rochefort-en-Yvelines,1,1
451,78Rolleboise,1,2
452,78Rosny-sur-Seine,1,1
453,78Sailly,1,1
454,78Saint-Arnoult-en-Yvelines,1,1
455,78Saint-Cyr-l'École,1,1
456,78Saint-Germain-de-la-Grange,1,1
457,78Saint-Germain-en-Laye,1,1
458,78Saint-Hilarion,1,1
459,78Saint-Illiers-le-Bois,1,1
460,78Saint-Léger-en-Yvelines,1,1
461,78Saint-Martin-la-Garenne,1,0
