mois_mutation,type_local,cat_commune,valeur_m2
2017/11,Maison,2,13910.835579846753
2017/12,Appartement,0,8374.056606340506
2017/12,Appartement,1,3898.5999466272656
2017/12,Appartement,2,12987.350790096465
2017/12,Maison,0,5955.032776312606
2017/12,Maison,1,3012.51219011008
2017/12,Maison,2,13815.865143588713
2018/01,Appartement,0,8453.686555061298
2018/01,Appartement,1,3707.6703164134983
2018/01,Appartement,2,12520.786855481558
2018/01,Maison,0,6146.715522267768
2018/01,Maison,1,3005.5663847175088
2018/01,Maison,2,11476.643262032463
2018/02,Appartement,0,8420.928295440384
2018/02,Appartement,1,3681.5298353429766
2018/02,Appartement,2,13058.379449438113
2018/02,Maison,0,6110.33827439484
2018/02,Maison,1,3003.904655703165
2018/02,Maison,2,12167.622477441322
2018/03,Appartement,0,8440.718428366868
2018/03,Appartement,1,3738.478816498453
2018/03,Appartement,2,13427.175170673405
2018/03,Maison,0,6237.346058283842
2018/03,Maison,1,3056.4080309454876
2018/03,Maison,2,11821.761606170337
2018/04,Appartement,0,8511.705086843695
2018/04,Appartement,1,3692.864771600784
2018/04,Appartement,2,13333.687726925506
2018/04,Maison,0,6195.525977504499
2018/04,Maison,1,3054.7867486224877
2018/04,Maison,2,10872.59572111104
2018/05,Appartement,0,8592.822100587244
2018/05,Appartement,1,3725.680575419207
2018/05,Appartement,2,13617.379464882566
2018/05,Maison,0,6351.735116426578
2018/05,Maison,1,3072.670156532866
2018/05,Maison,2,10646.412643748914
2018/06,Appartement,0,8646.113788662902
2018/06,Appartement,1,3759.988867162251
2018/06,Appartement,2,12654.219716570882
2018/06,Maison,0,6456.468457816036
2018/06,Maison,1,3087.4914745078745
2018/06,Maison,2,12349.218866194342
2018/07,Appartement,0,8841.403420826295
2018/07,Appartement,1,3765.1484221242854
2018/07,Appartement,2,13486.492622704609
2018/07,Maison,0,6516.61260468025
2018/07,Maison,1,3144.129338122832
2018/07,Maison,2,12731.322079898151
2018/08,Appartement,0,8677.316082250083
2018/08,Appartement,1,3725.2999212235773
2018/08,Appartement,2,13643.234997289033
2018/08,Maison,0,6361.803285666593
2018/08,Maison,1,3128.2630298814574
2018/08,Maison,2,11079.702536866876
2018/09,Appartement,0,8861.874004689429
2018/09,Appartement,1,3769.959906848578
2018/09,Appartement,2,14606.470520674317
2018/09,Maison,0,6336.594190552365
2018/09,Maison,1,3125.684196580699
2018/09,Maison,2,13310.202722469685
2018/10,Appartement,0,8804.415882733865
2018/10,Appartement,1,3853.8651405186165
2018/10,Appartement,2,14370.003055997337
2018/10,Maison,0,6518.419461846754
2018/10,Maison,1,3115.882670316371
2018/10,Maison,2,13438.700647857133
2018/11,Appartement,0,8743.973736744445
2018/11,Appartement,1,3570.8453041767752
2018/11,Appartement,2,13301.574670013577
2018/11,Maison,0,6553.966375866771
2018/11,Maison,1,3102.241232066841
2018/11,Maison,2,11775.267266960136
2018/12,Appartement,0,8669.95121548517
2018/12,Appartement,1,4249.748245006586
2018/12,Appartement,2,16198.204128482395
2018/12,Maison,0,6458.781019903394
2018/12,Maison,1,3056.9135000184933
2018/12,Maison,2,12367.260829645633
2019/01,Appartement,0,8845.313420500717
2019/01,Appartement,1,3840.1857101098603
2019/01,Appartement,2,14239.140549894615
2019/01,Maison,0,6479.997062937589
2019/01,Maison,1,3095.450335328574
2019/01,Maison,2,14458.03158843271
2019/02,Appartement,0,9021.160459740791
2019/02,Appartement,1,3844.843477544522
2019/02,Appartement,2,12881.581715131399
2019/02,Maison,0,6326.58987347131
2019/02,Maison,1,3108.9765136232195
2019/02,Maison,2,12054.616386045329
2019/03,Appartement,0,8913.1224598847
2019/03,Appartement,1,3809.1188095363186
2019/03,Appartement,2,13600.93785885242
2019/03,Maison,0,6399.636805883146
2019/03,Maison,1,3102.41839308145
2019/03,Maison,2,12549.19367794723
2019/04,Appartement,0,8952.791723764389
2019/04,Appartement,1,3834.0611173891457
2019/04,Appartement,2,13641.091697035745
2019/04,Maison,0,6597.433117972319
2019/04,Maison,1,3083.0023863784995
2019/04,Maison,2,12952.793884735842
2019/05,Appartement,0,8992.469512844598
2019/05,Appartement,1,3754.1157747919924
2019/05,Appartement,2,13789.052888993638
2019/05,Maison,0,6464.78122984803
2019/05,Maison,1,3089.844253799504
2019/05,Maison,2,10618.488066289443
2019/06,Appartement,0,9144.64538133601
2019/06,Appartement,1,3820.5737018127143
2019/06,Appartement,2,14375.09520670928
2019/06,Maison,0,6514.020237362873
2019/06,Maison,1,3149.675636691238
2019/06,Maison,2,15194.160143556552
2019/07,Appartement,0,9246.203610365881
2019/07,Appartement,1,3977.9644191650564
2019/07,Appartement,2,14250.710084765286
2019/07,Maison,0,6623.777158391898
2019/07,Maison,1,3170.5811586553896
2019/07,Maison,2,14560.003352700649
2019/08,Appartement,0,9237.849545040068
2019/08,Appartement,1,3804.3518199136033
2019/08,Appartement,2,13737.731743678138
2019/08,Maison,0,6642.040535991969
2019/08,Maison,1,3167.018642839524
2019/08,Maison,2,11884.462484327045
2019/09,Appartement,0,9364.262065612807
2019/09,Appartement,1,3925.6982851256316
2019/09,Appartement,2,14334.644764583047
2019/09,Maison,0,6712.712142965073
2019/09,Maison,1,3200.251755205296
2019/09,Maison,2,14990.947310602693
2019/10,Appartement,0,9328.99191700132
2019/10,Appartement,1,3934.2787208127047
2019/10,Appartement,2,14202.038957062667
2019/10,Maison,0,6739.961253087861
2019/10,Maison,1,3170.1546462321894
2019/10,Maison,2,13421.341440972863
2019/11,Appartement,0,9374.880599336268
2019/11,Appartement,1,4026.4042017500383
2019/11,Appartement,2,13373.873225708534
2019/11,Maison,0,6528.491919556251
2019/11,Maison,1,3160.861541665504
2019/11,Maison,2,12990.338028155516
2019/12,Appartement,0,9471.684475874301
2019/12,Appartement,1,3926.817529081456
2019/12,Appartement,2,13688.514696291804
2019/12,Maison,0,6778.9405367798945
2019/12,Maison,1,3173.566309392695
2019/12,Maison,2,13594.550006012796
2020/01,Appartement,0,9381.671315555319
2020/01,Appartement,1,3904.5047168268597
2020/01,Appartement,2,14555.404460054895
2020/01,Maison,0,6659.724539066467
2020/01,Maison,1,3185.4117353999836
2020/01,Maison,2,13718.818727565422
2020/02,Appartement,0,9523.366903528624
2020/02,Appartement,1,3915.651638143479
2020/02,Appartement,2,14544.523693278652
2020/02,Maison,0,6715.957972972437
2020/02,Maison,1,3165.7177286384194
2020/02,Maison,2,15704.095618011896
2020/03,Appartement,0,9625.671888220857
2020/03,Appartement,1,3487.073708067213
2020/03,Appartement,2,15228.51767020509
2020/03,Maison,0,6816.650173191939
2020/03,Maison,1,3177.579800493815
2020/03,Maison,2,13256.040030169588
2020/04,Appartement,0,9798.430434191947
2020/04,Appartement,1,3949.6093087986883
2020/04,Appartement,2,14549.556461874774
2020/04,Maison,0,6688.882691093686
2020/04,Maison,1,3226.250605599925
2020/04,Maison,2,13337.518210086106
2020/05,Appartement,0,9700.404301721688
2020/05,Appartement,1,3937.690239418733
2020/05,Appartement,2,15287.597022665133
2020/05,Maison,0,6617.550000100515
2020/05,Maison,1,3208.2151620773725
2020/05,Maison,2,14473.6855068684
2020/06,Appartement,0,9569.515223826334
2020/06,Appartement,1,3941.7926498553693
2020/06,Appartement,2,14858.620818977643
2020/06,Maison,0,6860.403402515234
2020/06,Maison,1,3232.5706198226126
2020/06,Maison,2,15858.07444141809
2020/07,Appartement,0,9725.806563627015
2020/07,Appartement,1,3954.7033112875592
2020/07,Appartement,2,14844.460608352854
2020/07,Maison,0,6854.588382022075
2020/07,Maison,1,3287.104986151759
2020/07,Maison,2,13929.027527574217
2020/08,Appartement,0,9615.31630259563
2020/08,Appartement,1,3953.802177728648
2020/08,Appartement,2,13286.616894912904
2020/08,Maison,0,6716.032887502991
2020/08,Maison,1,3252.4501091637867
2020/08,Maison,2,12475.378636252135
2020/09,Appartement,0,9707.108395633108
2020/09,Appartement,1,3973.97708030696
2020/09,Appartement,2,14789.863053744642
2020/09,Maison,0,6885.140047297882
2020/09,Maison,1,3297.637986417805
2020/09,Maison,2,13404.712238629143
2020/10,Appartement,0,9796.559230802108
2020/10,Appartement,1,4028.7504985826986
2020/10,Appartement,2,14558.654049334651
2020/10,Maison,0,7112.909394027162
2020/10,Maison,1,3315.249466299328
2020/10,Maison,2,13788.828018311571
2020/11,Appartement,0,9766.742034979176
2020/11,Appartement,1,3998.652569729413
2020/11,Appartement,2,15240.12181273118
2020/11,Maison,0,7196.920530205004
2020/11,Maison,1,3313.0535180159072
2020/11,Maison,2,13015.398674601523
2020/12,Appartement,0,9661.819118738893
2020/12,Appartement,1,3977.508413692497
2020/12,Appartement,2,14048.18468093229
2020/12,Maison,0,6915.8788482980335
2020/12,Maison,1,3282.441974520925
2020/12,Maison,2,15296.757069612922
2021/01,Appartement,0,9828.719222551814
2021/01,Appartement,1,3984.630410081732
2021/01,Appartement,2,15500.657063514898
2021/01,Maison,0,7152.350754718928
2021/01,Maison,1,3342.191391733852
2021/01,Maison,2,13638.890636387541
2021/02,Appartement,0,9672.324699680328
2021/02,Appartement,1,3982.703517865661
2021/02,Appartement,2,14914.5963649443
2021/02,Maison,0,6937.4281440320965
2021/02,Maison,1,3273.350774568145
2021/02,Maison,2,12501.998478541229
2021/03,Appartement,0,9777.680590121796
2021/03,Appartement,1,4007.5456931980443
2021/03,Appartement,2,14926.030123316354
2021/03,Maison,0,7030.581868106244
2021/03,Maison,1,3360.8584378461587
2021/03,Maison,2,17909.760429905895
2021/04,Appartement,0,9774.273527277073
